date:2014-01-10 15:56:07	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:8080/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 16:32:25	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:8080/terasoluna-gfw-web-blank/members" resulted in 403 (Forbidden); invoking error handler
date:2014-01-10 16:34:16	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:8080/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 16:42:19	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:8080/terasoluna-gfw-web-blank/members" resulted in 500 (Internal Server Error); invoking error handler
date:2014-01-10 16:44:23	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:8080/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 16:46:52	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 16:49:59	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 17:25:10	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/M999-999-9999" resulted in 500 (Internal Server Error); invoking error handler
date:2014-01-10 17:43:42	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/ge?t=1389343421852" resulted in 500 (Internal Server Error); invoking error handler
date:2014-01-10 17:46:50	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/ge?t=1389343610545" resulted in 500 (Internal Server Error); invoking error handler
date:2014-01-10 17:47:03	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/ge?t=1389343623614" resulted in 500 (Internal Server Error); invoking error handler
date:2014-01-10 17:48:17	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/ge?t=1389343696805" resulted in 500 (Internal Server Error); invoking error handler
date:2014-01-10 18:43:20	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:DELETE request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 18:47:44	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:DELETE request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 18:55:06	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members/be96842c-b5e5-4b1e-93a8-d00ce3ae0f77" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 18:58:26	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/xxxx" resulted in 500 (Internal Server Error); invoking error handler
date:2014-01-10 19:02:10	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/xxxx" resulted in 404 (Not Found); invoking error handler
date:2014-01-10 19:03:32	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members?name=" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:09:40	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 403 (Forbidden); invoking error handler
date:2014-01-10 19:10:27	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 403 (Forbidden); invoking error handler
date:2014-01-10 19:13:40	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:20:31	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:29:10	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:PUT request for "http://localhost:9999/terasoluna-gfw-web-blank/members/10c77b33-13d4-47aa-9b1e-49f38524ff8b" resulted in 415 (Unsupported Media Type); invoking error handler
date:2014-01-10 19:31:20	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/c9be0929-59dd-4039-8377-f3abe2ca64a0.xml" resulted in 406 (Not Acceptable); invoking error handler
date:2014-01-10 19:37:54	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:DELETE request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 19:37:54	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members/61b58574-be7b-4a35-abdc-2bf99f6e4db3" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 19:37:54	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:PUT request for "http://localhost:9999/terasoluna-gfw-web-blank/members/4890b265-5737-4266-a678-cdc9226af02a" resulted in 415 (Unsupported Media Type); invoking error handler
date:2014-01-10 19:37:54	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members?name=" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:37:54	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:37:54	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:37:55	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/xxxx" resulted in 404 (Not Found); invoking error handler
date:2014-01-10 19:37:55	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/763af5bb-ceb8-4c03-ba46-eb560a71396b.xml" resulted in 406 (Not Acceptable); invoking error handler
date:2014-01-10 19:48:20	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:DELETE request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 19:48:21	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members/087f9e24-0b4e-430e-b444-310431358864" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 19:48:21	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:PUT request for "http://localhost:9999/terasoluna-gfw-web-blank/members/146b4b0a-edec-47ef-9438-02048d952d70" resulted in 415 (Unsupported Media Type); invoking error handler
date:2014-01-10 19:48:22	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members?name=" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:48:22	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:48:22	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:48:22	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/xxxx" resulted in 404 (Not Found); invoking error handler
date:2014-01-10 19:48:22	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/13a64175-6258-49f7-8af9-4c105a464bac.xml" resulted in 406 (Not Acceptable); invoking error handler
date:2014-01-10 19:50:58	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members?name=" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:50:58	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:DELETE request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 19:50:59	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members/4bffffb7-d313-48d8-895e-eee92085bf55" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 19:50:59	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:PUT request for "http://localhost:9999/terasoluna-gfw-web-blank/members/9b995510-a168-4ff9-a8ac-25c70825c8a9" resulted in 415 (Unsupported Media Type); invoking error handler
date:2014-01-10 19:50:59	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:50:59	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 19:50:59	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/xxxx" resulted in 404 (Not Found); invoking error handler
date:2014-01-10 19:50:59	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/fc3938ae-cabb-4e3f-8793-2e3f4c5519d3.xml" resulted in 406 (Not Acceptable); invoking error handler
date:2014-01-10 20:12:30	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:DELETE request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 20:12:31	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members/162247c6-32fc-464a-a1fb-a9e3d85e605d" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 20:12:31	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:PUT request for "http://localhost:9999/terasoluna-gfw-web-blank/members/ddf4891b-33b9-48ed-81b7-fdc0fbdc1738" resulted in 415 (Unsupported Media Type); invoking error handler
date:2014-01-10 20:12:31	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members?name=" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 20:12:31	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 20:12:31	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 20:12:32	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/6dec659a-78d5-486f-b8cc-041126c5a22e.xml" resulted in 406 (Not Acceptable); invoking error handler
date:2014-01-10 20:12:32	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/xxxx" resulted in 404 (Not Found); invoking error handler
date:2014-01-10 20:14:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:DELETE request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 20:14:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members/13437b0f-4689-4da1-a420-9642794d51be" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 20:14:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:PUT request for "http://localhost:9999/terasoluna-gfw-web-blank/members/da70e9ec-7db0-48e9-8e58-0eb7cc59e0ad" resulted in 415 (Unsupported Media Type); invoking error handler
date:2014-01-10 20:14:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members?name=" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 20:14:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 20:14:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 20:14:50	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/xxxx" resulted in 404 (Not Found); invoking error handler
date:2014-01-10 20:14:50	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members/6b3194f2-1377-4de1-b283-4390bb2735d8.xml" resulted in 406 (Not Acceptable); invoking error handler
date:2014-01-10 20:15:48	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:DELETE request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 20:15:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members/cc55c88a-aeea-4b1f-89ff-5bf226b2ad8b" resulted in 405 (Method Not Allowed); invoking error handler
date:2014-01-10 20:15:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:PUT request for "http://localhost:9999/terasoluna-gfw-web-blank/members/62cfa391-dcc8-4389-b864-ba639d00926b" resulted in 415 (Unsupported Media Type); invoking error handler
date:2014-01-10 20:15:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:GET request for "http://localhost:9999/terasoluna-gfw-web-blank/members?name=" resulted in 400 (Bad Request); invoking error handler
date:2014-01-10 20:15:49	thread:main	X-Track:	level:WARN 	logger:org.springframework.web.client.RestTemplate     	message:POST request for "http://localhost:9999/terasoluna-gfw-web-blank/members" resulted in 400 (Bad Request); invoking error handler
